Units,Optimizer,Dropout,Train Acc,Train Loss,Val Acc,Val Loss,Test Acc,Test Loss,Test Time,,,,,
512,adamax,0.05,93.92%,0.1423,93.88%,0.1415,94.86%,0.1295,0.2590,,,,,
128,nadam,0.1,92.48%,0.1822,93.49%,0.1527,94.52%,0.1379,0.1162,"(Epochs, Test Acc)","(500, 95.2)","(1000, 95.54)","(1500, 96)","(2000, 97.1)"
256,adamax,0.05,93.56%,0.1534,93.20%,0.1513,93.88%,0.1465,0.1362,,,,,
512,adamax,0.15,93.04%,0.1668,92.32%,0.1581,93.63%,0.1491,0.2419,,,,,
128,adam,0.1,92.06%,0.1879,93.05%,0.1653,93.58%,0.1567,0.1327,,,,,
512,adamax,0.15,93.01%,0.1658,94.23%,0.1376,93.54%,0.1558,0.2166,,,,,
128,adamax,0.15,91.49%,0.2,92.71%,0.1825,93.49%,0.1709,0.1249,,,,,
256,nadam,0.05,93.34%,0.1565,92.81%,0.1636,93.44%,0.1538,0.1382,,,,,
128,nadam,0.15,91.73%,0.1965,92.27%,0.1761,93.29%,0.1696,0.1174,,,,,
256,nadam,0.1,92.55%,0.1783,93.79%,0.1449,93.24%,0.1505,0.1335,,,,,
256,nadam,0.1,92.43%,0.1769,93.40%,0.1608,93.24%,0.1502,0.1335,,,,,
512,nadam,0.1,92.67%,0.1839,93.69%,0.1542,93.19%,0.1538,0.2413,,,,,
512,adamax,0.1,93.53%,0.1511,93.64%,0.1527,93.10%,0.1761,0.2058,,,,,
256,adamax,0.15,92.61%,0.1786,92.27%,0.1668,93.05%,0.1569,0.1449,,,,,
64,adam,0.1,91.40%,0.2045,93.10%,0.1668,92.95%,0.1685,0.1068,,,,,
512,nadam,0.2,91.08%,0.2156,93.69%,0.1625,92.95%,0.1697,0.2074,,,,,
512,adamax,0.1,93.50%,0.1544,92.56%,0.1802,92.90%,0.1757,0.2292,,,,,
128,adamax,0.1,92.20%,0.1844,92.66%,0.1745,92.85%,0.1595,0.1346,,,,,
128,adamax,0.25,90.88%,0.2212,91.59%,0.197,92.85%,0.1884,0.1183,,,,,
512,adamax,0.2,92.60%,0.1778,94.32%,0.1502,92.85%,0.1745,0.2116,,,,,
256,adamax,0.25,91.80%,0.1982,93.00%,0.1582,92.75%,0.1806,0.1275,,,,,
32,adam,0.1,90.45%,0.2307,92.71%,0.1812,92.75%,0.1854,0.1025,,,,,
512,adam,0.1,92.06%,0.1878,93.79%,0.1434,92.75%,0.1885,0.2170,,,,,
256,adamax,0.1,92.93%,0.1665,92.42%,0.1746,92.75%,0.1596,0.1424,,,,,
256,adamax,0.15,92.38%,0.1788,93.44%,0.1593,92.70%,0.1703,0.1404,,,,,
128,nadam,0.25,90.69%,0.2307,91.54%,0.2,92.70%,0.1935,0.1117,,,,,
64,adamax,0.1,91.19%,0.2112,92.37%,0.1786,92.61%,0.1849,0.1117,,,,,
128,adamax,0.2,91.15%,0.2117,91.49%,0.1912,92.56%,0.1771,0.1234,,,,,
256,adam,0.1,92.22%,0.1258,93.84%,0.151,92.46%,0.1709,0.1197,,,,,
64,nadam,0.25,89.88%,0.2553,92.42%,0.1937,92.46%,0.1997,0.1084,,,,,
256,nadam,0.25,90.72%,0.2253,92.81%,0.1615,92.36%,0.1770,0.1282,,,,,
512,nadam,0.05,93.59%,0.1585,92.37%,0.1898,92.36%,0.1806,0.2320,,,,,
256,nadam,0.2,91.35%,0.2109,92.03%,0.2109,92.31%,0.2036,0.1284,,,,,
128,adam,0.25,90.36%,0.2311,91.93%,0.1873,92.31%,0.1854,0.1176,,,,,
128,nadam,0.2,91.21%,0.213,91.63%,0.2026,92.26%,0.1994,0.1408,,,,,
256,nadam,0.15,91.88%,0.1946,92.03%,0.183,92.26%,0.1711,0.1310,,,,,
256,adamax,0.2,91.78%,0.196,92.66%,0.1686,92.21%,0.1821,0.1253,,,,,
700,adam,0.15,90.98%,0.2224,92.37%,0.1718,92.21%,0.1832,0.1697,,,,,
64,nadam,0.2,90.52%,0.2321,92.32%,0.1773,92.16%,0.1885,0.1005,,,,,
256,adamax,0.1,92.93%,0.1695,93.70%,0.152,92.12%,0.1811,0.1356,,,,,
700,adam,0.1,91.79%,0.1992,92.91%,0.169,92.12%,0.1832,0.1649,,,,,
64,nadam,0.1,91.58%,0.1981,92.47%,0.1784,92.07%,0.1805,0.1082,,,,,
256,adam,0.15,91.38%,0.2086,92.42%,0.1906,92.07%,0.1907,0.1275,,,,,
32,nadam,0.1,90.49%,0.2299,92.42%,0.1771,92.07%,0.1925,0.1092,,,,,
512,nadam,0.1,92.56%,0.1809,93.69%,0.1457,92.02%,0.1733,0.2061,,,,,
64,adamax,0.2,89.85%,0.2445,92.12%,0.1874,91.92%,0.1988,0.1111,,,,,
