ANCHOR_RATIOS,ANCHOR_SIZES,TEST_PRE_NMS_TOPK,TEST_POST_NMS_TOPK,PROPOSAL_NMS_THRESH,PRECISION
"(0.95, 1.0, 1.05)","(32, 62, 102, 182, 232)",30000,5000,0.82,67.13%
"(0.95, 1.0, 1.05)","(32, 62, 102, 182, 232)",20000,4000,0.8,66.90%
"(0.8, 1.0, 1.2)","(32, 62, 102, 182, 232)",20000,3000,0.8,66.78%
"(0.85, 1.0, 1.15)","(32, 62, 102, 182, 232)",20000,3000,0.8,66.66%
"(0.93, 1.0, 1.07)","(32, 62, 102, 182, 232)",16000,4000,0.75,66.66%
"(0.95, 1.0, 1.05)","(32, 62, 112, 212, 252)",15000,3000,0.8,66.54%
"(0.95, 1.0, 1.05)","(32, 62, 112, 212, 252)",15000,3000,0.8,66.54%
"(0.95, 1.0, 1.05)","(32, 62, 102, 182, 232)",15000,3000,0.8,66.40%
"(0.93, 1.0, 1.07)","(32, 62, 102, 182, 232)",20000,2500,0.78,66.31%
"(0.98, 1.0, 1.02)","(32, 62, 112, 212, 252)",15000,3000,0.8,66.31%
"(0.93, 1.0, 1.07)","(32, 62, 102, 182, 232)",20000,2500,0.77,66.19%
"(0.93, 1.0, 1.07)","(32, 62, 102, 182, 232)",20000,2500,0.82,65.70%
"(0.93, 1.0, 1.07)","(32, 62, 102, 182, 232)",15000,2000,0.8,65.02%
" (0.85, 1.0, 1.15)","(32, 62, 102, 182, 232)",10000,2000,0.8,64.78%
"(0.9, 1.0, 1.1)","(32, 62, 102, 182, 232)",15000,3000,0.8,64.67%
"(0.95, 1.0, 1.05)","(32, 62, 102, 182, 232)",15000,2000,0.8,64.31%
"(0.97, 1.0, 1.03)","(32, 62, 102, 182, 232)",15000,3000,0.8,64.20%
"(0.75, 1.0, 1.25)","(32, 62, 102, 182, 232)",10000,2000,0.8,64.20%
"(0.95, 1.0, 1.05)","(32, 62, 102, 182, 232)",35000,4000,0.7,64.08%
"(0.95, 1.0, 1.05)","(32, 62, 112, 212, 252)",35000,4000,0.7,64.08%
"(0.9, 1.0, 1.1)","(32, 62, 112, 212, 252)",20000,4000,0.7,63.96%
"(0.9, 1.0, 1.1)","(32, 62, 112, 212, 252)",50000,5000,0.7,63.96%
"(0.9, 1.0, 1.1)","(32, 62, 102, 182, 232)",35000,4000,0.7,63.96%
"(0.9, 1.0, 1.1)","(32, 62, 92, 122, 222)",35000,4000,0.7,63.84%
"(0.9, 1.0, 1.1)","(32, 64, 116, 192, 222)",35000,4000,0.7,63.67%
"(0.95, 1.0, 1.05)","(32, 64, 108, 186, 212)",15000,2000,0.8,63.30%
"(0.85, 1.0, 1.15)","(32, 62, 112, 212, 252)",50000,6000,0.7,63.15%
"(0.9, 1.0, 1.1)","(32, 62, 112, 212, 252)",10000,3000,0.7,63.03%
"(0.95, 1.0, 1.05)","(32, 64, 116, 192, 222)",35000,4000,0.7,63.02%
"(0.9, 1.0, 1.1)","(32, 64, 128, 192, 256)",50000,6000,0.7,62.68%
"(0.9, 1.0, 1.1)","32, 64, 192, 224, 256",35000,4000,0.7,62.44%
"(0.85, 1.0, 1.15)","(32, 62, 112, 212, 252)",10000,3000,0.7,62.32%
